,Loss
0,1.4292416746802954
1,0.4242942471440311
2,0.13052898992821405
3,0.06267264736199543
4,0.041010545067803175
5,0.03304548705287335
6,0.02602045369302504
7,0.022627806711681193
8,0.01983661307666278
9,0.017890231682037627
